name	va	documented
CityGetRandomBuilding	0x00709b40	yes
CityGetSeller	0x006f5fd0	yes
CityGetServant	0x006f6840	yes
CityGetServantCount	0x006f6770	yes
CityGetWantedTime	0x006f6220	yes
CityGuardScan	0x006f62c0	yes
CityIsKontor	0x006f6110	no
CityLevel2Label	0x00709620	yes
CityModifyCrimeRate	0x006f6680	yes
CityPrepareOfficesToVote	0x00801500	no
CityRemoveApplicant	0x008010b0	no
CityRemoveFromOffice	0x007ff7a0	yes
CityScheduleCutsceneEvent	0x0071a1a0	yes
CitySetFixedPrice	0x006f63f0	no
CitySetMaxWorkerhutLevel	0x006f6370	yes
CitySetOfficeApplicant	0x00800fd0	yes
CitySimBreakout	0x00709020	yes
ClearImportantPersonSection	0x0044e570	no
ClearMeasureCache	0x006fefa0	no
ClearStateImpact	0x007062a0	yes
CLoopAnimation	0x00702b20	no
CMoveTo	0x006fd150	no
CMoveToWeak	0x006fd270	no
CMsgBox	0x0044c540	no
CMsgNews	0x0070a290	no
CMsgQuest	0x0044c9f0	no
CMsgQuestIntro	0x0044cb20	no
CMsgSay	0x0070a5d0	no
CommandStructure	0x00702570	no
CommitAction	0x00708ac0	yes
CompleteAchievement	0x0044e990	no
CopyAlias	0x006fb2a0	yes
CopyAliasFromCutscene	0x00700ae0	yes
CopyAliasToCutscene	0x007009a0	yes
CourtingGetMaxCourtingId	0x006ffab0	yes
CourtingId2Measure	0x006ffaf0	yes
CPlayAnimation	0x00702820	no
CreateCutscene	0x00710bd0	yes
CreateImportantPersonSection	0x0044e610	no
CreateRoad	0x006fc010	no
CreateScriptcall	0x00716b90	yes
CreateWorkOfArt	0x006fbe40	no
CreditGetInterest	0x006f58d0	yes
CreditGetRemainingTime	0x006f59b0	yes
CreditGetRuntime	0x006f5940	yes
CreditGetSum	0x006f57f0	yes
CreditGetTotal	0x006f5860	yes
CreditMoney	0x00703550	yes
CrimeForfeit	0x00709560	yes
CrimeGetEvidenceValue	0x007095c0	yes
CSendCommand	0x00638790	no
CShowPanel	0x0063a3d0	no
CShowTutorialBox	0x0044e1e0	no
CStroll	0x00702d80	no
CUseLocator	0x006ff630	no
CutsceneAddEvent	0x00713a40	yes
CutsceneAddSim	0x008022f0	no
CutsceneAddTriggerEvent	0x00713b90	yes
CutsceneCallScheduled	0x007093a0	no
CutsceneCallThread	0x0071a4c0	yes
CutsceneCallUnscheduled	0x00709480	no
CutsceneCameraBlend	0x00803840	yes
CutsceneCameraCreate	0x008032b0	yes
CutsceneCameraRelease	0x008038c0	yes
CutsceneCameraSetAbsolutePosition	0x00803700	yes
CutsceneCameraSetRelativePosition	0x00803460	yes
CutsceneCollectEvidences	0x007181a0	yes
CutsceneGetData	0x00709250	yes
CutsceneGetMeasureLockTime	0x00802470	yes
CutsceneHUDShow	0x0044d910	yes
CutsceneLocalPlayerIsWatching	0x00802d80	yes
CutsceneRemoveSim	0x00802380	no
CutsceneSendEventTrigger	0x007090b0	yes
CutsceneSetData	0x00709130	yes
CutsceneSetMeasureLockTime	0x00802410	yes
CutsceneSetTimeBar	0x00802e00	yes
CutsceneShowCharacterPanel	0x0044e7c0	no
CWaitForSelection	0x00638a20	no
DeleteSaveGame	0x00450b40	no
DestroyCutscene	0x00803920	no
Detach3DSound	0x007069a0	yes
DoNewBornStuff	0x00705c80	yes
DumpFileManifest	0x00450af0	no
DynastyAddMember	0x007013d0	yes
DynastyAvoidControl	0x006f8f60	no
DynastyCreate	0x006f6ab0	yes
DynastyFindIdleWorker	0x006f9400	yes
DynastyFindNewBuilding	0x006f9140	yes
DynastyFindSquad	0x0070b5c0	yes
DynastyFindTargetDynasty	0x006f9270	yes
DynastyForceCalcDiplomacy	0x006f8770	yes
DynastyGetBuilding2	0x006f96b0	no
DynastyGetBuildingCount	0x006f9db0	yes
DynastyGetBuildingCount2	0x006f9630	no
DynastyGetColor	0x006f6bd0	yes
DynastyGetCredit	0x006f8940	yes
DynastyGetDiplomacyOffer	0x006f8fe0	yes
DynastyGetDiplomacyState	0x0070ee60	yes
DynastyGetFamilyMember	0x006fc920	yes
DynastyGetFamilyMemberCount	0x006fc8a0	yes
DynastyGetFlagNumber	0x0070c470	yes
DynastyGetHomeCity	0x006fcb70	yes
DynastyGetMaxDiplomacyState	0x006f8d80	no
DynastyGetMember	0x006fc9f0	yes
DynastyGetMemberCount	0x006fc820	yes
DynastyGetMemberRandom	0x006fcac0	yes
DynastyGetMinDiplomacyState	0x006f8cd0	no
DynastyGetRandomBuilding	0x006fa880	yes
DynastyGetRandomVictim	0x006f9340	yes
DynastyGetRanking	0x006f8700	yes
DynastyGetTeam	0x006f83f0	yes
DynastyGetTotalSeaTradeValue	0x006f82c0	no
DynastyGetWorker	0x006f9560	yes
DynastyGetWorkerCount	0x006f94d0	yes
DynastyHasUpgrade	0x00703d60	no
DynastyIsAI	0x006f8070	yes
DynastyIsDead	0x006f8600	yes
DynastyIsHumanControlled	0x006f8220	no
DynastyIsPlayer	0x006f7fd0	yes
DynastyIsShadow	0x006f8680	yes
DynastyMakeImpact	0x006f9090	yes
DynastyPaybackCredit	0x006f88a0	yes
DynastyRemoveDiplomacyStateImpact	0x006f8e30	yes
DynastyRemoveMember	0x00701460	yes
DynastySetDiplomacyState	0x006f8a10	yes
DynastySetMaxDiplomacyState	0x006f8c90	yes
DynastySetMinDiplomacyState	0x006f8c50	yes
DynastySetTeam	0x006f8470	yes
DynastyTakeCredit	0x006f87f0	yes
EndCutscene	0x00715090	yes
EnterVehicle	0x00702cd0	yes
Evacuate	0x00706770	yes
EvidenceGetActor	0x007003d0	yes
EvidenceGetSeverity	0x00700360	yes
ExitBuildingWithCamera	0x0044cc80	yes
ExitCurrentVehicle	0x00702c50	yes
FadeInFE	0x00709da0	yes
FadeOutAllFE	0x00709f20	yes
FadeOutFE	0x00709e70	yes
Find	0x00637bf0	yes
FindByID	0x00637fe0	yes
FindByName	0x006383a0	yes
FindNearestBuilding	0x007140a0	yes
FindNode	0x005cbc30	yes
FindResourceProto	0x006f77f0	yes
FindWorker	0x007169a0	yes
Fire	0x00702be0	yes
ForbidMeasure	0x006f7e40	yes
Gametime2Realtime	0x006fd570	yes
Gametime2Total	0x006fd510	yes
GetAccessPriceGive	0x007054c0	no
GetAccessPriceTake	0x007053f0	no
GetAchievementCategory	0x0044eec0	no
GetAchievementInfo	0x0044f1e0	no
GetAchievementProgress	0x0044ebc0	no
GetAchievementScore	0x0044f090	no
GetAliasByID	0x0063aad0	yes
GetAnimationLength	0x007029b0	yes
GetArmor	0x006f97a0	yes
GetBuildingBasePrice	0x006fac70	yes
GetCameraPosition	0x0044ce80	yes
GetConfigFloat	0x00451870	no
GetConfigInt	0x00451290	no
GetConfigString	0x00451370	no
GetCrimeLocation	0x0070c6e0	yes
GetCurrentMeasureID	0x0063c8a0	yes
GetCurrentMeasureName	0x0063c970	yes
GetCurrentMeasurePriority	0x0063ca30	yes
GetData	0x00639220	yes
GetDatabaseMaxID	0x00639c50	no
GetDatabaseValue	0x00639ce0	yes
GetDirectionTo	0x00701dd0	yes
GetDisplayName	0x0070d690	no
GetDistance	0x0070fa30	yes
GetDynasty	0x00705350	yes
GetDynastyColors	0x004508f0	no
GetDynastyEvidenceValues	0x00718d70	no
GetDynastyID	0x007052e0	yes
GetEvadePosition	0x0070fea0	yes
GetEvidenceAlignmentSum	0x00716480	yes
GetEvidenceValues	0x007165b0	yes
GetFavor	0x00711b00	no
GetFavorToDynasty	0x00711b00	yes
GetFavorToSim	0x00711b00	yes
GetFingerprint	0x00450330	no
GetFleePosition	0x0070fd10	yes
GetFreeLocatorByName	0x007193f0	yes
GetGametime	0x006fd6b0	yes
GetGameVersion	0x00450210	no
GetHomeBuilding	0x006feba0	yes
GetHomeBuildingId	0x006fec40	yes
GetHoursToNextTrial	0x00711990	no
GetHP	0x00704870	yes
GetHPRelative	0x007048d0	yes
GetID	0x0063abf0	yes
GetImpactValue	0x00704fd0	yes
GetInsideBuilding	0x00700bb0	yes
GetInsideBuildingID	0x00700e40	yes
GetInsideRoom	0x007111f0	yes
GetInventory	0x00703c20	no
GetItemCount	0x00707c20	yes
GetLocalizedText	0x004503c0	no
GetLocalPlayerDynasty	0x0070b230	yes
GetLocatorByName	0x006ff170	yes
GetLocatorIndex	0x006ff410	yes
GetMapInfo	0x00450750	no
GetMapList	0x00450560	no
GetMaxHP	0x00704a10	yes
GetMaxWorkshopCount	0x006f8580	yes
GetMeasureRepeat	0x00708240	yes
GetMeasureRepeatName	0x007085f0	yes
GetMeasureRepeatName2	0x007084a0	yes
GetMoney	0x00702f10	yes
GetMount	0x00715920	no
GetName	0x00706600	yes
GetNearestSettlement	0x006f69b0	yes
GetNobilityTitle	0x00702140	yes
GetNobilityTitleLabel	0x00712000	yes
GetOfficeByApplicant	0x00801660	no
GetOfficeTypeHolder	0x00800cf0	yes
GetOutdoorLocator	0x0044c7b0	yes
GetOutdoorMovePosition	0x00712dd0	yes
GetPlayerName	0x00450370	no
GetPosition	0x0070f450	yes
GetPositionOfSubobject	0x0070f870	yes
GetPositionXYZ	0x006fb940	no
GetProperty	0x006378f0	yes
GetRadius	0x006fa170	yes
GetRandomPlayerDynasty	0x00717fe0	no
GetRemainingInventorySpace	0x006fc740	yes
GetRepeatTimerEndtime	0x00708800	yes
GetRepeatTimerLeft	0x007081b0	yes
GetRotation	0x006fcd30	yes
GetRotationTo	0x00701f80	yes
GetRound	0x006fe650	yes
GetSaveGameList	0x00451dc0	no
GetScenario	0x006fe810	yes
GetScreenModes	0x00453370	no
GetSeason	0x006fe5c0	yes
GetSettingNumber	0x0063c770	yes
GetSettingString	0x0063c650	yes
GetSettlement	0x00701cc0	yes
GetSettlementID	0x00701d60	yes
GetSimsInRange	0x00716e00	no
GetSimType	0x007023b0	yes
GetSkillValue	0x00713260	yes
GetStat	0x0070d2b0	no
GetState	0x00706450	yes
GetStateImpact	0x00706380	yes
GetValueFloat	0x005cbd80	no
GetValueInt	0x005cbd00	no
GetValueString	0x005cc6b0	no
GetVehicle	0x0070f0f0	yes
GetWorkOfArtData	0x006fc130	no
GetWorldPositionXYZ	0x006fb7f0	no
GetYear	0x006fe6e0	no
GfxAttachObject	0x007153d0	yes
GfxAttachObjectByID	0x0063afc0	yes
GfxDetachAllObjects	0x0063c370	yes
GfxDetachObject	0x00715230	yes
GfxDropToFloor	0x0063b3d0	yes
GfxGetHeight	0x0063c2a0	yes
GfxIsMoving	0x0063c520	yes
GfxMoveNoWait	0x0063b7b0	yes
GfxMoveToNoWait	0x0063bb90	yes
GfxMoveToPositionNoWait	0x0063b9a0	yes
GFXRand	0x0063aa40	yes
GfxRotateNoWait	0x0063bd20	yes
GfxRotateToAngleNoWait	0x0063bf10	yes
GfxRotateToNoWait	0x0063c110	yes
GfxScale	0x0063c410	yes
GfxSetPosition	0x0063b090	yes
GfxSetPositionTo	0x0063b280	yes
GfxSetRotation	0x0063b4a0	yes
GfxSetRotationTo	0x0063b660	yes
GfxStartParticle	0x00715580	yes
GfxStopParticle	0x0063aef0	yes
GuideSetPage	0x0044f330	no
HasData	0x00639370	yes
HasProperty	0x00637800	yes
HasRunningQuest	0x00714fc0	yes
HideObject	0x00710000	yes
HidePanel	0x00451450	no
HideTutorialBox	0x0044e440	yes
HireWorker	0x006f9f40	yes
HudAddToSelection	0x0044d340	yes
HudCancelUserSelection	0x0044e480	yes
HudClearSelection	0x0044d2f0	yes
HudDeselect	0x0044d260	yes
HudEnableElement	0x0044d8a0	yes
HudGetActiveCharacter	0x0044cdf0	yes
HudGetActiveSheet	0x0044d050	yes
HudGetSelected	0x0044d3a0	yes
HudGetSelectionCount	0x0044e900	no
HudPanelIsVisible	0x0044e100	yes
HudSelect	0x0044d160	yes
HudSetViewToObject	0x0044e010	yes
ImpactGetMaxTimeleft	0x00704a70	yes
Include	0x005cfa90	yes
IncrementSkillValue	0x00713380	no
IncrementXPQuiet	0x00714360	yes
InternalDie	0x00702e40	yes
InternalRemove	0x00702eb0	yes
InventoryGetSlotCount	0x0070c240	yes
InventoryGetSlotInfo	0x0070c3b0	yes
InventoryGetSlotSize	0x0070c2d0	no
ipairs	0x008228b0	no
IsAchievementCompleted	0x0044ecb0	no
IsAchievementUnlocked	0x0044f130	no
IsAchievementVanillaOnly	0x0070d1e0	no
IsAIDriven	0x0063a2b0	yes
IsDead	0x00706570	yes
IsDemo	0x0044e160	no
IsDestroyed	0x0063a1f0	yes
IsDynastySim	0x007045e0	yes
IsGUIDriven	0x0063a310	yes
IsInit	0x00639f40	yes
IsInLoadingRange	0x00707d00	yes
IsLocatorFree	0x00706a80	yes
IsModActive	0x0070d1b0	no
IsMount	0x0070d0e0	no
IsMounted	0x00715760	no
IsMultiplayerGame	0x006f7420	yes
IsOnlyPartyMember	0x007046c0	yes
IsPartyMember	0x00704650	yes
IsReady	0x0063a090	yes
IsStateDriven	0x0063a370	yes
IsType	0x00705050	yes
IsTypeExact	0x007051a0	no
ItemGetBasePrice	0x00707710	yes
ItemGetCategory	0x00707020	yes
ItemGetID	0x00707b80	yes
ItemGetLabel	0x00707a30	yes
ItemGetName	0x00707100	yes
ItemGetNeed	0x00707400	no
ItemGetPriceBuy	0x00707260	yes
ItemGetPriceSell	0x00707650	yes
ItemGetProductionAmount	0x00707870	yes
ItemGetProductionTime	0x007077c0	yes
ItemGetSlot	0x007071a0	yes
ItemGetSubstLevel	0x00707320	yes
ItemGetType	0x00706f40	yes
Kill	0x00712810	yes
KillQuest	0x00714ee0	yes
KontorFreezeAll	0x006fd880	no
KontorGetLordPermitLeft	0x006fe4a0	no
KontorGetPermitLeft	0x006fd9f0	no
KontorGrantLordPermit	0x006fe370	no
KontorGrantPermit	0x006fd8c0	no
KontorPublishFactory	0x006fdc60	no
KontorSetCharterLord	0x006fe020	no
KontorSetLordship	0x006fe0b0	no
KontorSetRealmLabels	0x006fdb10	no
KontorSetReroll	0x006fdf20	no
KontorSetRoute	0x006fd740	no
KontorShowPrivileges	0x0044cd30	no
len	0x005cbb90	no
ListAdd	0x00639470	yes
ListAllCutscenes	0x00710e20	no
ListClear	0x006397f0	yes
ListContains	0x00639b00	no
ListCrimeReport	0x00701a80	no
ListGetElement	0x00639960	yes
ListMerge	0x00639580	yes
ListNew	0x006393f0	yes
ListRemove	0x006396e0	yes
ListSize	0x00639890	yes
LoadSaveGame	0x00452530	no
LocatorGetBlocker	0x006ff300	no
LocatorStatus	0x006ff0d0	yes
LogError	0x005cc850	no
LogMessage	0x005cc7b0	yes
LogWarning	0x005cbe00	no
LordshipAddFavor	0x006fe170	no
LordshipGetFavor	0x006fe2b0	no
LuaType	0x005cbac0	no
MapHighlightObject	0x0044d0d0	yes
MarketConsume	0x007074e0	no
MarketRegisterSale	0x00707590	no
math	0x00825e90	no
MeasureAddAlias	0x0070e520	yes
MeasureAddData	0x0070e640	yes
MeasureClearRuntimeData	0x0063c620	yes
MeasureCreate	0x0070e420	yes
MeasureGetID	0x006f7700	yes
MeasureGetPriority	0x0063ae90	yes
MeasureIsValid	0x0070c170	yes
MeasureRun	0x0070e9f0	yes
MeasureSetNotRestartable	0x0063c5f0	yes
MeasureSetPriority	0x0063ae20	yes
MeasureSetStopMode	0x0063cb00	no
MeasureStart	0x0070e820	yes
ModifyFavorToDynasty	0x00711d00	yes
ModifyFavorToSim	0x00711c00	yes
ModifyHP	0x00704930	yes
Mount	0x0070cf80	no
MoveGetPrefPattern	0x00712d30	no
MoveGetStance	0x006fd040	no
MoveSetActivity	0x006fcea0	yes
MoveSetStance	0x006fcfb0	yes
MoveStop	0x006fd0d0	yes
MsgDebugMeasure	0x00638d60	yes
MsgMeasure	0x0071a5e0	yes
MsgQuick	0x0071a720	yes
MsgSystem	0x0071a840	yes
Name2BuildingType	0x006f9e90	yes
newproxy	0x00822dd0	no
NotifyOnStateChange	0x00717940	yes
ObjectClearMeasureIcon	0x0070c560	yes
ObjectClearStateIcon	0x0070c640	yes
ObjectGetRotationY	0x006fcc30	no
ObjectSetHighlight	0x0070b300	yes
ObjectSetMeasureIcon	0x0070c4e0	yes
ObjectSetStateIcon	0x0070c5c0	yes
OfficeApplicationHUDAddVoter	0x0044de40	no
OfficeApplicationHUDSetCandidates	0x0044dd60	no
OfficeDepositionHUDAddVoter	0x0044df70	no
OfficeDepositionHUDSetCandidate	0x0044dee0	no
OfficeGetAccessRights	0x007ffe90	yes
OfficeGetApplicantCount	0x008002b0	yes
OfficeGetChargeCost	0x00800140	no
OfficeGetHolder	0x007ff900	yes
OfficeGetHolderId	0x007ff890	yes
OfficeGetIdx	0x00800240	no
OfficeGetLevel	0x007ff9c0	yes
OfficeGetShadowApplicantCount	0x00800320	yes
OfficeGetTextLabel	0x007ffa20	yes
OfficePrepareSessionMembers	0x00801b60	no
OfficeRemoveApplicant	0x008001b0	no
OfficeSetBlock	0x007ff820	yes
OpenBugReport	0x00450a50	no
OpenLetterComposer	0x0070a170	no
OpenSteamOverlayURL	0x00450a20	no
OSHSetMeasureCost	0x0044f590	yes
OSHSetMeasureRepeat	0x0044f4d0	yes
OSHSetMeasureRuntime	0x0044f410	yes
OutputDebugString	0x006fa990	no
pairs	0x00822830	no
PenaltyFinish	0x00709800	yes
PenaltyGetOffender	0x00714000	yes
PenaltyGetPrisonTime	0x007098e0	yes
PenaltyGetType	0x00709870	yes
PenaltyReset	0x00709790	yes
PlayerCreate	0x006f5130	yes
PlayerMeasureStarted	0x0044cff0	yes
PlayFE	0x00709fe0	yes
PlaySound	0x00707de0	yes
PlaySound3D	0x00707ef0	yes
PlaySound3DVariation	0x00707f90	yes
PlaySoundVariation	0x00707e70	yes
Plunder	0x006f9d00	yes
Position2GuildObject	0x006fb330	no
PositionGetArea	0x006fb680	yes
PositionGetRotation	0x006fba70	yes
PositionGetVector	0x006fb770	yes
PositionModify	0x006fb580	yes
PositionMove	0x006fb430	yes
PositionSetArea	0x006fb6f0	yes
PositionSetVector	0x006fbad0	yes
ProfessionGetLabel	0x00707930	yes
QuestTalk	0x00708a30	yes
QuitGame	0x00450360	no
Rand	0x0063a830	yes
ReadyToRepeat	0x00708130	yes
RealmGetRuler	0x006fde40	no
RealmSetRuler	0x006fdd40	no
Realtime2Gametime	0x006fd610	yes
ReleaseAvoidanceGroup	0x006fa510	yes
ReleaseLocator	0x006ff370	yes
releaseownership	0x0088c0e0	no
RemoveAlias	0x00638e90	yes
RemoveAllImpactDependendImpacts	0x00704db0	no
RemoveAllObjectDependendImpacts	0x00704e40	yes
RemoveAllOverheadSymbols	0x0070a7e0	yes
RemoveData	0x006391a0	yes
RemoveDialogBox	0x0070a850	yes
RemoveDynastyEvidences	0x0070acb0	no
RemoveEmptySlots	0x006fc270	yes
RemoveEvidences	0x0070ac20	yes
RemoveImpact	0x00704f10	yes
RemoveItems	0x0070f740	yes
RemoveOverheadSymbol	0x0070a750	yes
RemoveOverheadSymbols	0x00718cf0	yes
RemoveProperty	0x00637b00	yes
RemoveScriptcall	0x00708750	yes
RenderCustomClear	0x00505130	no
RenderCustomClearAll	0x00505210	no
RenderCustomSetCamera	0x00504950	no
RenderCustomSetFOV	0x00504a40	no
RenderCustomSetLabel	0x00504470	no
RenderCustomSetObjectTransform	0x00504ad0	no
RenderCustomSetTexture	0x00504500	no
RenderCustomShowNIF	0x00505be0	no
RenderCustomShowObject	0x00505b30	no
RenderCustomShowSim	0x00505a80	no
ResetAchievementProgress	0x0044ef70	no
ResetGamespeed	0x0044e730	yes
ResetMouseCursorTexture	0x0063a750	yes
ResetProcessProgress	0x00704810	yes
ResetQuest	0x00714e00	yes
ResolveLabel	0x0070d3b0	no
ResourceCanBeChanged	0x006f7bc0	yes
ResourceFind	0x006f7880	yes
