name	va	arity	params
BuildingGetWorkingEnd	0x00703830	1	building
BuildingGetWorkingStart	0x007037c0	1	building
BuildingHasIndoor	0x006faff0	1	building
BuildingHasUpgrade	0x00703ce0	1	building
BuildingInternalLevelUp	0x00703630	2	building,number
BuildingIsWorkingTime	0x00702500	1	building
BuildingLevelMeUp	0x006f5a30	2	building,number
BuildingLockForCutscene	0x0070b040	2	building,object
BuildingRallyWorkers	0x00706800	1	building
BuildingSetFlagColor	0x00704080	3	building,object,number
BuildingSetForSale	0x00705840	2	building,bool
BuildingSetOwner	0x00705750	3	building,sim,bool
BuildingSetWaterPos	0x00703f70	3	building,object,object
CalcDistance	0x0063ac90	2	outalias,outalias
CalculateCourtingDifficulty	0x00701740	2	sim,sim
CameraBlend	0x00802d20	2	number,number
CameraCheckLineOfSight	0x00802c50	1	guildobject
CameraEnableUserUnlock	0x00802c00	1	bool
CameraFollow	0x00802270	1	guildobject
CameraIndoorGetBuilding	0x00802970	1	string
CameraIndoorGetRoom	0x00802a10	1	string
CameraIndoorSetBuilding	0x00802860	1	building
CameraIndoorSetRoom	0x008028e0	1	object
CameraIsIndoor	0x00802580	0	
CameraIsLocked	0x00802600	0	
CameraIsTerrain	0x008025c0	0	
CameraLock	0x00802e90	3	string,?,guildobject
CameraLockLookAt	0x00802aa0	1	guildobject
CameraTerrainSet	0x00802640	0	
CameraTerrainSetPos	0x00802680	3	sim,number,number
CameraUnlock	0x00802bb0	0	
CampaignExit	0x00714590	1	bool
CanAddItems	0x006fbd40	4	guildobject,number,number,number
CanBeControlled	0x006fa7e0	2	guildobject,object
CanBeInterruptetBy	0x006f7620	2	object,object
CanBuildWorkshop	0x006f8500	1	guildobject
CarryObject	0x006ff580	3	sim,string,bool
CartCheckEscort	0x00706dc0	2	object,string
CartCheckFighting	0x00706e60	1	object
CartCreateEscort	0x00706ce0	1	object
CartGetEscortCount	0x00706c70	1	object
CartGetOperator	0x00706bc0	2	object,string
CartGetType	0x00706ed0	1	object
CartRemoveEscort	0x00706d50	1	object
Cast	0x005cbc90	-	unresolved
cast	0x0088bbd0	-	unresolved
CC_Continue	0x00450c90	-	unresolved
CC_DecrementSkill	0x00452d30	-	unresolved
CC_Finish	0x00450cb0	-	unresolved
CC_GetClass	0x00452840	-	unresolved
CC_GetClassNames	0x00452d80	-	unresolved
CC_GetFirstName	0x00452990	-	unresolved
CC_GetGender	0x004526d0	-	unresolved
CC_GetLastName	0x00452aa0	-	unresolved
CC_GetReligion	0x004527a0	-	unresolved
CC_GetSkills	0x00452bc0	-	unresolved
CC_GetZodiac	0x004528f0	-	unresolved
CC_GetZodiacNames	0x00450c20	-	unresolved
CC_IncrementSkill	0x00452ce0	-	unresolved
CC_RandomName	0x00452b90	-	unresolved
CC_SetBeard	0x00453080	-	unresolved
CC_SetClass	0x004528a0	-	unresolved
CC_SetFirstName	0x00452a20	-	unresolved
CC_SetGender	0x00452720	-	unresolved
CC_SetHair	0x00453030	-	unresolved
CC_SetHairColor	0x004530d0	-	unresolved
CC_SetHat	0x00453120	-	unresolved
CC_SetLastName	0x00452b30	-	unresolved
CC_SetReligion	0x004527f0	-	unresolved
CC_SetSkin	0x00452fe0	-	unresolved
CC_SetVoice	0x00453170	-	unresolved
CC_SetZodiac	0x00452950	-	unresolved
CChangeAnimation	0x00702910	3	object,string,number
CExitCurrentBuilding	0x00712690	2	sim,string
CFight	0x006fed40	4	guildobject,guildobject,string,string
CFollow	0x006fd390	7	object,object,number,string,number,bool,bool
ChangeAlias	0x00638de0	2	outalias,outalias
ChangeAppearance	0x0044cbe0	1	sim
ChangeGameState	0x004515a0	-	unresolved
ChangeResidence	0x00706870	2	sim,building
CheckGameTimerEnd	0x0070b170	0	
CheckPlayerBankrupt	0x0070aee0	1	object
CheckPlayerExtinct	0x0070ae70	1	object
CheckSkill	0x007131c0	3	sim,number,number
CHudRemoveCountdown	0x0044e850	2	string,bool
CIncrementXP	0x00712110	2	sim,number
CInitAlias	0x0044d790	3	string,string,string
CInitData	0x0044d580	3	string,string,string
CityAddPenalty	0x00701920	4	settlement,sim,number,number
CityAssignTrialRoles	0x00718640	2	object,settlement
CityBuildNewBuilding	0x0070dc10	6	settlement,number,sim,string,object,number
CityEndOfficeElection	0x00801130	3	settlement,object,sim
CityFindCrowdedPlace	0x007135e0	3	settlement,sim,string
CityFindSquad	0x00708f50	3	settlement,sim,string
CityGetBuildingByName	0x00709c50	3	settlement,string,string
CityGetBuildingCount	0x00716fe0	6	settlement,number,number,number,number,number
CityGetBuildingCountForCharacter	0x007177f0	4	settlement,number,number,number
CityGetBuildingForCharacter	0x007175d0	4	settlement,sim,number,string
CityGetBuildings	0x00717140	7	settlement,number,number,number,number,number,string
CityGetChairmanList	0x008013b0	2	settlement,string
CityGetCitizenCount	0x006f65a0	1	settlement
CityGetCrimeRate	0x006f6610	1	settlement
CityGetDynastyCharList	0x007117a0	2	settlement,string
CityGetEventText	0x00711670	2	settlement,number
CityGetFreeEventHour	0x00713820	3	settlement,number,number
CityGetHighestOfficeLevel	0x00800de0	1	settlement
CityGetItemDemand	0x00718ad0	2	settlement,number
CityGetLevel	0x006f6700	1	settlement
CityGetLocalMarket	0x006f6180	2	settlement,string
CityGetMaxWorkerhutLevel	0x006f6530	1	settlement
CityGetNearestBuilding	0x00717370	8	settlement,sim,number,number,number,number,number,string
CityGetNumEvents	0x007115f0	1	settlement
CityGetOffice	0x00800f00	4	settlement,number,number,string
CityGetOfficeCountAtLevel	0x00800e60	2	settlement,number
CityGetOfficeSessionMemberList	0x008017f0	3	settlement,string,number
CityGetPenalty	0x007096a0	5	settlement,sim,number,bool,string
CityGetRandomBuilding	0x00709b40	7	settlement,number,number,number,number,number,string
CityGetSeller	0x006f5fd0	5	settlement,guildobject,number,number,string
CityGetServant	0x006f6840	4	settlement,number,number,string
CityGetServantCount	0x006f6770	2	settlement,number
CityGetWantedTime	0x006f6220	2	settlement,sim
CityGuardScan	0x006f62c0	2	guildobject,string
CityIsKontor	0x006f6110	1	settlement
CityLevel2Label	0x00709620	1	string
CityModifyCrimeRate	0x006f6680	2	settlement,number
CityPrepareOfficesToVote	0x00801500	3	settlement,string,bool
CityRemoveApplicant	0x008010b0	2	settlement,sim
CityRemoveFromOffice	0x007ff7a0	2	settlement,sim
CityScheduleCutsceneEvent	0x0071a1a0	7	settlement,string,object,string,number,number,string
CitySetFixedPrice	0x006f63f0	5	guildobject,number,number,number,number
CitySetMaxWorkerhutLevel	0x006f6370	2	settlement,number
CitySetOfficeApplicant	0x00800fd0	3	settlement,sim,object
CitySimBreakout	0x00709020	2	settlement,sim
ClearImportantPersonSection	0x0044e570	1	string
ClearMeasureCache	0x006fefa0	1	object
ClearStateImpact	0x007062a0	1	string
CLoopAnimation	0x00702b20	3	object,string,number
CMoveTo	0x006fd150	6	object,object,number,string,number,bool
CMoveToWeak	0x006fd270	6	object,object,number,string,number,bool
CMsgBox	0x0044c540	6	guildobject,object,string,bool,string,string
CMsgNews	0x0070a290	8	guildobject,object,string,bool,string,number,string,string
CMsgQuest	0x0044c9f0	6	guildobject,object,string,bool,string,string
CMsgQuestIntro	0x0044cb20	1	string
CMsgSay	0x0070a5d0	6	guildobject,guildobject,object,string,bool,string
CommandStructure	0x00702570	2	sim,bool
CommitAction	0x00708ac0	6	outalias,guildobject,guildobject,guildobject,object,string
CompleteAchievement	0x0044e990	2	number,object
CopyAlias	0x006fb2a0	2	object,outalias
CopyAliasFromCutscene	0x00700ae0	3	string,object,string
CopyAliasToCutscene	0x007009a0	3	object,object,string
CourtingGetMaxCourtingId	0x006ffab0	0	
CourtingId2Measure	0x006ffaf0	1	number
CPlayAnimation	0x00702820	4	sim,string,number,number
CreateCutscene	0x00710bd0	2	string,string
CreateImportantPersonSection	0x0044e610	2	string,string
CreateRoad	0x006fc010	5	number,number,number,number,number
CreateScriptcall	0x00716b90	7	string,number,string,string,object,object,string
CreateWorkOfArt	0x006fbe40	7	guildobject,number,number,number,string,number,guildobject
CreditGetInterest	0x006f58d0	1	object
CreditGetRemainingTime	0x006f59b0	1	object
CreditGetRuntime	0x006f5940	1	object
CreditGetSum	0x006f57f0	1	object
CreditGetTotal	0x006f5860	1	object
CreditMoney	0x00703550	3	guildobject,number,string
CrimeForfeit	0x00709560	2	object,number
CrimeGetEvidenceValue	0x007095c0	1	object
CSendCommand	0x00638790	3	outalias,outalias,outalias
CShowPanel	0x0063a3d0	-	unresolved
CShowTutorialBox	0x0044e1e0	11	number,number,number,number,number,bool,string,string,string,string,number
CStroll	0x00702d80	4	object,number,number,string
CUseLocator	0x006ff630	2	object,number
CutsceneAddEvent	0x00713a40	3	object,string,number
CutsceneAddSim	0x008022f0	2	object,sim
CutsceneAddTriggerEvent	0x00713b90	5	object,string,string,number,number
CutsceneCallScheduled	0x007093a0	2	object,string
CutsceneCallThread	0x0071a4c0	3	object,string,guildobject
CutsceneCallUnscheduled	0x00709480	2	object,string
CutsceneCameraBlend	0x00803840	3	object,number,number
CutsceneCameraCreate	0x008032b0	2	object,guildobject
CutsceneCameraRelease	0x008038c0	1	object
CutsceneCameraSetAbsolutePosition	0x00803700	2	object,object
CutsceneCameraSetRelativePosition	0x00803460	3	object,string,guildobject
CutsceneCollectEvidences	0x007181a0	4	object,sim,sim,bool
CutsceneGetData	0x00709250	2	object,string
CutsceneGetMeasureLockTime	0x00802470	1	object
CutsceneHUDShow	0x0044d910	3	object,string,bool
CutsceneLocalPlayerIsWatching	0x00802d80	1	object
CutsceneRemoveSim	0x00802380	2	object,sim
CutsceneSendEventTrigger	0x007090b0	2	object,string
CutsceneSetData	0x00709130	2	object,string
CutsceneSetMeasureLockTime	0x00802410	2	object,number
CutsceneSetTimeBar	0x00802e00	2	object,number
CutsceneShowCharacterPanel	0x0044e7c0	2	object,bool
CWaitForSelection	0x00638a20	2	outalias,outalias
DeleteSaveGame	0x00450b40	-	unresolved
DestroyCutscene	0x00803920	1	object
Detach3DSound	0x007069a0	1	guildobject
DoNewBornStuff	0x00705c80	1	sim
DumpFileManifest	0x00450af0	-	unresolved
DynastyAddMember	0x007013d0	2	object,sim
DynastyAvoidControl	0x006f8f60	1	guildobject
DynastyCreate	0x006f6ab0	5	number,bool,number,string,bool
DynastyFindIdleWorker	0x006f9400	4	guildobject,number,number,string
DynastyFindNewBuilding	0x006f9140	3	guildobject,number,string
DynastyFindSquad	0x0070b5c0	2	object,string
DynastyFindTargetDynasty	0x006f9270	3	guildobject,bool,string
DynastyForceCalcDiplomacy	0x006f8770	1	guildobject
DynastyGetBuilding2	0x006f96b0	3	guildobject,number,string
DynastyGetBuildingCount	0x006f9db0	3	guildobject,number,number
DynastyGetBuildingCount2	0x006f9630	1	guildobject
DynastyGetColor	0x006f6bd0	1	sim
DynastyGetCredit	0x006f8940	3	guildobject,number,string
DynastyGetDiplomacyOffer	0x006f8fe0	2	guildobject,guildobject
DynastyGetDiplomacyState	0x0070ee60	2	sim,sim
DynastyGetFamilyMember	0x006fc920	3	guildobject,number,string
DynastyGetFamilyMemberCount	0x006fc8a0	1	guildobject
DynastyGetFlagNumber	0x0070c470	1	object
DynastyGetHomeCity	0x006fcb70	2	guildobject,string
DynastyGetMaxDiplomacyState	0x006f8d80	2	guildobject,guildobject
DynastyGetMember	0x006fc9f0	3	guildobject,number,string
DynastyGetMemberCount	0x006fc820	1	guildobject
DynastyGetMemberRandom	0x006fcac0	2	guildobject,string
DynastyGetMinDiplomacyState	0x006f8cd0	2	guildobject,guildobject
DynastyGetRandomBuilding	0x006fa880	4	guildobject,number,number,outalias
DynastyGetRandomVictim	0x006f9340	3	guildobject,number,string
DynastyGetRanking	0x006f8700	1	guildobject
DynastyGetTeam	0x006f83f0	1	guildobject
DynastyGetTotalSeaTradeValue	0x006f82c0	1	guildobject
DynastyGetWorker	0x006f9560	4	guildobject,number,number,outalias
DynastyGetWorkerCount	0x006f94d0	2	guildobject,number
DynastyHasUpgrade	0x00703d60	1	guildobject
DynastyIsAI	0x006f8070	1	guildobject
DynastyIsDead	0x006f8600	1	guildobject
DynastyIsHumanControlled	0x006f8220	1	guildobject
DynastyIsPlayer	0x006f7fd0	1	guildobject
DynastyIsShadow	0x006f8680	1	guildobject
DynastyMakeImpact	0x006f9090	3	guildobject,number,number
DynastyPaybackCredit	0x006f88a0	2	guildobject,number
DynastyRemoveDiplomacyStateImpact	0x006f8e30	4	guildobject,guildobject,number,bool
DynastyRemoveMember	0x00701460	1	sim
DynastySetDiplomacyState	0x006f8a10	3	guildobject,guildobject,number
DynastySetMaxDiplomacyState	0x006f8c90	0	
DynastySetMinDiplomacyState	0x006f8c50	0	
DynastySetTeam	0x006f8470	2	guildobject,number
DynastyTakeCredit	0x006f87f0	3	building,sim,number
EndCutscene	0x00715090	1	object
EnterVehicle	0x00702cd0	2	sim,object
Evacuate	0x00706770	2	building,bool
EvidenceGetActor	0x007003d0	2	object,string
EvidenceGetSeverity	0x00700360	1	object
ExitBuildingWithCamera	0x0044cc80	0	
ExitCurrentVehicle	0x00702c50	1	object
FadeInFE	0x00709da0	2	sim,string
FadeOutAllFE	0x00709f20	1	sim
FadeOutFE	0x00709e70	2	sim,string
Find	0x00637bf0	3	object,outalias,outalias
FindByID	0x00637fe0	3	object,?,outalias
FindByName	0x006383a0	3	object,outalias,outalias
FindNearestBuilding	0x007140a0	6	guildobject,number,number,number,bool,string
FindNode	0x005cbc30	-	unresolved
FindResourceProto	0x006f77f0	1	string
FindWorker	0x007169a0	3	building,string,number
Fire	0x00702be0	1	sim
ForbidMeasure	0x006f7e40	3	object,?,number
Gametime2Realtime	0x006fd570	1	number
Gametime2Total	0x006fd510	1	number
GetAccessPriceGive	0x007054c0	5	guildobject,guildobject,number,number,number
GetAccessPriceTake	0x007053f0	5	guildobject,guildobject,number,number,number
GetAchievementCategory	0x0044eec0	2	number,object
GetAchievementInfo	0x0044f1e0	2	number,object
GetAchievementProgress	0x0044ebc0	2	number,object
GetAchievementScore	0x0044f090	1	object
GetAliasByID	0x0063aad0	2	?,outalias
GetAnimationLength	0x007029b0	3	object,string,number
GetArmor	0x006f97a0	1	guildobject
GetBuildingBasePrice	0x006fac70	1	number
GetCameraPosition	0x0044ce80	0	
GetConfigFloat	0x00451870	-	unresolved
GetConfigInt	0x00451290	-	unresolved
GetConfigString	0x00451370	-	unresolved
GetCrimeLocation	0x0070c6e0	2	guildobject,string
GetCurrentMeasureID	0x0063c8a0	1	outalias
GetCurrentMeasureName	0x0063c970	1	outalias
GetCurrentMeasurePriority	0x0063ca30	1	outalias
GetData	0x00639220	1	outalias
GetDatabaseMaxID	0x00639c50	1	outalias
GetDatabaseValue	0x00639ce0	3	outalias,?,outalias
GetDirectionTo	0x00701dd0	2	object,object
GetDisplayName	0x0070d690	1	guildobject
GetDistance	0x0070fa30	2	object,object
GetDynasty	0x00705350	2	guildobject,string
GetDynastyColors	0x004508f0	-	unresolved
GetDynastyEvidenceValues	0x00718d70	2	sim,sim
GetDynastyID	0x007052e0	1	guildobject
GetEvadePosition	0x0070fea0	3	object,number,string
GetEvidenceAlignmentSum	0x00716480	2	sim,sim
GetEvidenceValues	0x007165b0	2	sim,sim
GetFavor	0x00711b00	2	sim,sim
GetFavorToDynasty	0x00711b00	2	sim,sim
GetFavorToSim	0x00711b00	2	sim,sim
GetFingerprint	0x00450330	-	unresolved
GetFleePosition	0x0070fd10	4	object,object,number,string
GetFreeLocatorByName	0x007193f0	6	building,string,number,number,string,bool
GetGametime	0x006fd6b0	0	
GetGameVersion	0x00450210	-	unresolved
GetHomeBuilding	0x006feba0	2	guildobject,string
GetHomeBuildingId	0x006fec40	1	guildobject
GetHoursToNextTrial	0x00711990	1	settlement
GetHP	0x00704870	1	guildobject
GetHPRelative	0x007048d0	1	guildobject
GetID	0x0063abf0	1	outalias
GetImpactValue	0x00704fd0	2	guildobject,impactname
GetInsideBuilding	0x00700bb0	2	sim,string
GetInsideBuildingID	0x00700e40	1	sim
GetInsideRoom	0x007111f0	2	sim,string
GetInventory	0x00703c20	3	guildobject,number,string
GetItemCount	0x00707c20	3	guildobject,number,number
GetLocalizedText	0x004503c0	-	unresolved
GetLocalPlayerDynasty	0x0070b230	1	string
GetLocatorByName	0x006ff170	4	building,string,string,bool
GetLocatorIndex	0x006ff410	1	object
GetMapInfo	0x00450750	-	unresolved
GetMapList	0x00450560	-	unresolved
GetMaxHP	0x00704a10	1	guildobject
GetMaxWorkshopCount	0x006f8580	1	guildobject
GetMeasureRepeat	0x00708240	3	guildobject,?,object
GetMeasureRepeatName	0x007085f0	1	object
GetMeasureRepeatName2	0x007084a0	2	?,object
GetMoney	0x00702f10	1	guildobject
GetMount	0x00715920	2	sim,string
GetName	0x00706600	1	object
GetNearestSettlement	0x006f69b0	2	object,string
GetNobilityTitle	0x00702140	2	guildobject,bool
GetNobilityTitleLabel	0x00712000	1	number
GetOfficeByApplicant	0x00801660	2	sim,string
GetOfficeTypeHolder	0x00800cf0	3	guildobject,number,string
GetOutdoorLocator	0x0044c7b0	3	string,number,string
GetOutdoorMovePosition	0x00712dd0	3	guildobject,guildobject,string
GetPlayerName	0x00450370	-	unresolved
GetPosition	0x0070f450	2	object,string
GetPositionOfSubobject	0x0070f870	3	guildobject,string,string
GetPositionXYZ	0x006fb940	1	object
GetProperty	0x006378f0	2	outalias,outalias
GetRadius	0x006fa170	1	object
GetRandomPlayerDynasty	0x00717fe0	1	string
GetRemainingInventorySpace	0x006fc740	3	guildobject,number,number
GetRepeatTimerEndtime	0x00708800	2	guildobject,string
GetRepeatTimerLeft	0x007081b0	2	guildobject,string
GetRotation	0x006fcd30	2	object,object
GetRotationTo	0x00701f80	2	object,object
GetRound	0x006fe650	0	
GetSaveGameList	0x00451dc0	-	unresolved
GetScenario	0x006fe810	1	string
GetScreenModes	0x00453370	-	unresolved
GetSeason	0x006fe5c0	0	
GetSettingNumber	0x0063c770	2	outalias,outalias
GetSettingString	0x0063c650	3	outalias,outalias,outalias
GetSettlement	0x00701cc0	2	guildobject,string
GetSettlementID	0x00701d60	1	guildobject
GetSimsInRange	0x00716e00	4	guildobject,number,string,number
GetSimType	0x007023b0	1	sim
GetSkillValue	0x00713260	2	sim,skillname
GetStat	0x0070d2b0	1	string
GetState	0x00706450	2	guildobject,number
GetStateImpact	0x00706380	2	guildobject,string
GetValueFloat	0x005cbd80	-	unresolved
GetValueInt	0x005cbd00	-	unresolved
GetValueString	0x005cc6b0	-	unresolved
GetVehicle	0x0070f0f0	2	object,outalias
GetWorkOfArtData	0x006fc130	3	guildobject,number,number
GetWorldPositionXYZ	0x006fb7f0	1	object
GetYear	0x006fe6e0	0	
GfxAttachObject	0x007153d0	2	string,string
GfxAttachObjectByID	0x0063afc0	1	outalias
GfxDetachAllObjects	0x0063c370	0	
GfxDetachObject	0x00715230	1	object
GfxDropToFloor	0x0063b3d0	1	outalias
GfxGetHeight	0x0063c2a0	1	outalias
GfxIsMoving	0x0063c520	1	outalias
GfxMoveNoWait	0x0063b7b0	1	outalias
GfxMoveToNoWait	0x0063bb90	2	outalias,outalias
GfxMoveToPositionNoWait	0x0063b9a0	1	outalias
GFXRand	0x0063aa40	0	
GfxRotateNoWait	0x0063bd20	1	outalias
GfxRotateToAngleNoWait	0x0063bf10	1	outalias
GfxRotateToNoWait	0x0063c110	2	outalias,outalias
GfxScale	0x0063c410	1	outalias
GfxSetPosition	0x0063b090	1	outalias
GfxSetPositionTo	0x0063b280	2	outalias,outalias
GfxSetRotation	0x0063b4a0	1	outalias
GfxSetRotationTo	0x0063b660	2	outalias,outalias
GfxStartParticle	0x00715580	4	string,string,object,number
GfxStopParticle	0x0063aef0	1	outalias
GuideSetPage	0x0044f330	1	string
HasData	0x00639370	1	outalias
HasProperty	0x00637800	2	outalias,outalias
HasRunningQuest	0x00714fc0	2	string,sim
HideObject	0x00710000	2	guildobject,outalias
HidePanel	0x00451450	-	unresolved
HideTutorialBox	0x0044e440	0	
HireWorker	0x006f9f40	2	building,string
HudAddToSelection	0x0044d340	1	guildobject
HudCancelUserSelection	0x0044e480	0	
HudClearSelection	0x0044d2f0	0	
HudDeselect	0x0044d260	0	
HudEnableElement	0x0044d8a0	2	string,bool
HudGetActiveCharacter	0x0044cdf0	1	string
HudGetActiveSheet	0x0044d050	0	
HudGetSelected	0x0044d3a0	1	string
HudGetSelectionCount	0x0044e900	1	string
HudPanelIsVisible	0x0044e100	1	string
HudSelect	0x0044d160	1	guildobject
HudSetViewToObject	0x0044e010	4	object,number,number,bool
ImpactGetMaxTimeleft	0x00704a70	2	guildobject,impactname
Include	0x005cfa90	-	unresolved
IncrementSkillValue	0x00713380	3	sim,skillname,number
IncrementXPQuiet	0x00714360	2	sim,number
InternalDie	0x00702e40	1	guildobject
InternalRemove	0x00702eb0	1	guildobject
InventoryGetSlotCount	0x0070c240	2	guildobject,number
InventoryGetSlotInfo	0x0070c3b0	3	guildobject,number,number
InventoryGetSlotSize	0x0070c2d0	3	guildobject,number,number
ipairs	0x008228b0	-	unresolved
IsAchievementCompleted	0x0044ecb0	2	number,object
IsAchievementUnlocked	0x0044f130	2	number,object
IsAchievementVanillaOnly	0x0070d1e0	1	string
IsAIDriven	0x0063a2b0	0	
IsDead	0x00706570	1	guildobject
IsDemo	0x0044e160	0	
IsDestroyed	0x0063a1f0	1	outalias
IsDynastySim	0x007045e0	1	sim
IsGUIDriven	0x0063a310	0	
IsInit	0x00639f40	1	outalias
IsInLoadingRange	0x00707d00	2	guildobject,guildobject
IsLocatorFree	0x00706a80	2	building,string
IsModActive	0x0070d1b0	0	
IsMount	0x0070d0e0	1	object
IsMounted	0x00715760	1	sim
IsMultiplayerGame	0x006f7420	0	
IsOnlyPartyMember	0x007046c0	1	sim
IsPartyMember	0x00704650	1	sim
IsReady	0x0063a090	1	outalias
IsStateDriven	0x0063a370	0	
IsType	0x00705050	2	object,string
IsTypeExact	0x007051a0	2	object,string
ItemGetBasePrice	0x00707710	1	string
ItemGetCategory	0x00707020	1	number
ItemGetID	0x00707b80	1	string
ItemGetLabel	0x00707a30	2	string,bool
ItemGetName	0x00707100	1	string
ItemGetNeed	0x00707400	1	number
ItemGetPriceBuy	0x00707260	2	number,object
ItemGetPriceSell	0x00707650	2	number,object
ItemGetProductionAmount	0x00707870	1	string
ItemGetProductionTime	0x007077c0	1	string
ItemGetSlot	0x007071a0	1	string
ItemGetSubstLevel	0x00707320	1	number
ItemGetType	0x00706f40	1	number
Kill	0x00712810	1	guildobject
KillQuest	0x00714ee0	2	string,guildobject
KontorFreezeAll	0x006fd880	1	number
KontorGetLordPermitLeft	0x006fe4a0	2	guildobject,number
KontorGetPermitLeft	0x006fd9f0	2	guildobject,number
KontorGrantLordPermit	0x006fe370	2	guildobject,number
KontorGrantPermit	0x006fd8c0	2	guildobject,number
KontorPublishFactory	0x006fdc60	2	number,number
KontorSetCharterLord	0x006fe020	2	guildobject,number
KontorSetLordship	0x006fe0b0	3	guildobject,number,number
KontorSetRealmLabels	0x006fdb10	5	guildobject,number,string,string,string
KontorSetReroll	0x006fdf20	1	guildobject
KontorSetRoute	0x006fd740	2	guildobject,number
KontorShowPrivileges	0x0044cd30	2	guildobject,guildobject
len	0x005cbb90	-	unresolved
ListAdd	0x00639470	2	outalias,outalias
ListAllCutscenes	0x00710e20	1	string
ListClear	0x006397f0	1	outalias
